Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
FLV3 Skill Magazine,items,Food,,,"Farm Life Skill Magazine",,"Farm Life Zeitschrift",
FLV3SkillMagazineDesc,items,Food,,,Learn how to farm with all your farming needs!\n\nImproves Farm Life crafting skill.,,Erfahren alles über die Landwirtschaft!\n\nVerbessert die Fertigkeit Farm Life Crafting.,,
Barley Seed,,item,Food,newKey,Barley Seedling,,Gerstensamen,
Beet Seed,,item,Food,newKey,Beet Seedling,,Rübensamen,
BellPepper Seed,,item,Food,newKey,Bell Pepper Seedling,,Bellpfeffersamen,
Cabbage Seed,,item,Food,newKey,Cabbage Seedling,,Kohlsamen,
Carrot Seed,,item,Food,newKey,Carrot Seedling,,Karottensamen,
Celery Seed,,item,Food,newKey,Celery Seedling,,Selleriesamen,
CherryTomato Seed,,item,Food,newKey,Cherry Tomato Seedling,,Kirschtomatensamen,
Flax Seed,,item,Food,newKey,Flax Seedling,,Flaxsamen,
Garlic Seed,,item,Food,newKey,Garlic Seedling,,Knoblauchsamen,
GhostPepper Seed,,item,Food,newKey,Ghost Pepper Seedling,,Geisterpfeffersamen,
Herb Seed,,item,Food,newKey,Herb Seedling,,Kräutersamen,
IcebergLettuce Seed,,item,Food,newKey,Iceberg Lettuce Seedling,,Eisbergsalatsamen,
Marijuana Seed,,item,Food,newKey,Marijuana Seedling,,Mariuhanasamen,
Onion Seed,,item,Food,newKey,Onion Seedling,,Zwiebelsamen,
Pineapple Seed,,item,Food,newKey,Pineapple Seedling,,Ananassamen,
Raspberry Seed,,item,Food,newKey,Raspberry Seedling,,Himbeersamen,
Rice Seed,,item,Food,newKey,Rice Seedling,,Reissamen,
Romaine Seed,,item,Food,newKey,Romaine Seedling,,Romanasalatsamen,
Rye Seed,,item,Food,newKey,Rye Seedling,,Roggensamen,
Sorghum Seed,,item,Food,newKey,Sorghum Seedling,,Sorghumsamen,
SoyBean Seed,,item,Food,newKey,SoyBean Seedling,,Sojabohnensamen,
Spinach Seed,,item,Food,newKey,Spinach Seedling,,Spinatsamen,
Squash Seed,,item,Food,newKey,Squash Seedling,,Kürbissamen,
Strawberry Seed,,item,Food,newKey,Strawberry Seedling,,Erdbeersamen,
SugarCane Seed,,item,Food,newKey,Sugar Cane Seedling,,Zuckerrohrsamen,
Sunflower Seed,,item,Food,newKey,Sunflower Seedling,,Sonnenblumensamen,
Tomato Seed,,item,Food,newKey,Tomato Seedling,,Tomatensamen,
VineyardGrape Seed,,item,Food,newKey,Vineyard Grape Seedling,,Weintraubensamen,
Wheat Seed,,item,Food,newKey,Wheat Seedling,,Weizensamen,
